transaction_id,customer_id,amount,payment_method,customer_type,subscription_type,payment_status,failure_reason,retry_count,previous_success_rate,days_since_last_payment,checkout_completed,customer_tenure_days,recovered
TX000127,C00238,262.02,UPI,returning,monthly,success,none,0,0.64,50,1,1258,0
TX000128,C02295,248.05,WALLET,new,yearly,success,none,0,0.61,169,1,52,0
TX000129,C01724,1607.15,UPI,returning,one_time,failed,insufficient_funds,1,0.91,62,1,642,0
TX000130,C01905,526.5,UPI,returning,one_time,success,none,0,0.64,73,1,936,0
TX000131,C01697,1439.19,NETBANKING,new,one_time,success,none,0,0.65,67,1,1386,0
TX000132,C01661,2214.63,UPI,returning,one_time,success,none,0,0.86,113,1,1480,0
TX000133,C00272,349.37,UPI,returning,one_time,success,none,0,0.96,176,1,220,0
TX000134,C01678,307.85,NETBANKING,new,monthly,failed,insufficient_funds,1,0.51,249,1,185,0
TX000135,C02385,4949.24,NETBANKING,new,yearly,success,none,0,0.56,291,1,1482,0
TX000136,C00912,1504.8,UPI,returning,yearly,success,none,0,0.79,299,1,1498,0
TX000137,C01809,751.96,CARD,returning,one_time,failed,card_declined,2,0.83,288,1,369,0
TX000138,C00093,473.17,UPI,returning,monthly,failed,insufficient_funds,1,0.98,203,1,754,0
TX000139,C01043,692.7,UPI,returning,one_time,success,none,0,0.73,285,1,731,0
TX000140,C01311,375.59,CARD,returning,one_time,failed,insufficient_funds,0,0.63,117,1,1224,1
TX000141,C02949,2428.6,UPI,returning,monthly,success,none,0,0.9,79,1,1269,0
TX000142,C00644,545.08,UPI,returning,one_time,success,none,0,0.88,133,1,913,0
TX000143,C00830,2934.17,UPI,returning,one_time,success,none,0,0.6,146,1,1167,0
TX000144,C01226,764.66,NETBANKING,new,monthly,failed,bank_timeout,2,0.78,188,1,581,0
TX000145,C02978,428.8,CARD,returning,monthly,success,none,0,0.76,332,0,878,0
TX000146,C02561,747.2,UPI,returning,yearly,success,none,0,0.7,201,1,192,0
TX000147,C00105,103.36,NETBANKING,returning,one_time,success,none,0,0.68,321,1,265,0
TX000148,C00702,983.69,NETBANKING,returning,yearly,success,none,0,0.57,299,1,953,0
TX000149,C02466,940.95,UPI,returning,one_time,success,none,0,0.86,53,1,101,0
TX000150,C00175,2303.69,WALLET,returning,one_time,success,none,0,0.59,349,1,1434,0
TX000151,C02568,200.8,UPI,returning,monthly,success,none,0,0.88,104,1,104,0
TX000152,C00845,3120.29,UPI,returning,monthly,success,none,0,0.74,73,0,452,0
TX000153,C02753,2295.12,UPI,returning,one_time,success,none,0,0.63,25,1,746,0
TX000154,C00881,3384.09,UPI,returning,monthly,success,none,0,0.86,337,1,671,0
TX000155,C01303,1045.81,CARD,returning,one_time,success,none,0,0.76,69,1,984,0
TX000156,C01986,2731.23,CARD,returning,yearly,success,none,0,0.74,211,1,711,0
TX000157,C00379,291.75,NETBANKING,returning,one_time,success,none,0,0.93,111,1,697,0
TX000158,C01672,2083.37,UPI,returning,monthly,success,none,0,0.45,130,1,167,0
TX000159,C01516,547.82,UPI,returning,yearly,success,none,0,0.68,207,1,329,0
TX000160,C02352,248.08,UPI,returning,monthly,success,none,0,0.67,69,0,30,0
TX000161,C02989,398.73,UPI,returning,yearly,failed,expired_card,0,0.9,154,1,1045,0
TX000162,C01993,1102.11,NETBANKING,returning,monthly,success,none,0,0.84,239,1,1360,0
TX000163,C01228,522.24,CARD,returning,one_time,failed,card_declined,0,0.68,188,1,721,0
TX000164,C01220,1538.35,CARD,returning,monthly,success,none,0,0.73,247,1,1068,0
TX000165,C01254,215.42,CARD,returning,monthly,failed,insufficient_funds,1,0.65,348,1,1418,0
TX000166,C02443,161.68,UPI,returning,one_time,success,none,0,0.89,328,0,1480,0
TX000167,C00964,3771.2,UPI,returning,one_time,success,none,0,0.76,80,1,61,0
TX000168,C00501,2473.58,UPI,returning,one_time,success,none,0,0.88,119,1,1371,0
TX000169,C01003,426.51,NETBANKING,returning,one_time,success,none,0,0.63,25,1,821,0
TX000170,C00069,1093.68,UPI,returning,yearly,failed,network_error,0,0.52,196,1,1373,1
TX000171,C00319,2745.05,UPI,returning,yearly,success,none,0,0.62,226,1,1126,0
TX000172,C00271,1599.23,CARD,new,monthly,success,none,0,0.88,233,1,259,0
TX000173,C02315,1253.13,UPI,returning,one_time,failed,bank_timeout,1,0.72,26,1,1388,0
TX000174,C02168,2938.45,UPI,returning,one_time,success,none,0,0.54,284,1,808,0
TX000175,C02091,568.13,UPI,returning,one_time,success,none,0,0.74,87,1,847,0
TX000176,C01386,1127.84,UPI,new,one_time,success,none,0,0.56,311,1,601,0
TX000177,C02152,1079.16,UPI,new,monthly,success,none,0,0.75,106,0,1235,0
TX000178,C00484,857.92,NETBANKING,returning,monthly,failed,insufficient_funds,0,0.68,269,1,954,0
TX000179,C02702,772.15,CARD,returning,monthly,success,none,0,0.78,55,1,969,0
TX000180,C01504,1170.96,UPI,new,one_time,failed,network_error,0,0.8,110,1,1215,0
TX000181,C02815,1131.12,CARD,new,yearly,success,none,0,0.65,123,1,882,0
TX000182,C00457,426.84,CARD,returning,one_time,success,none,0,0.97,184,1,1485,0
TX000183,C01492,2256.6,CARD,new,one_time,success,none,0,0.81,191,1,858,0
TX000184,C02089,455.44,NETBANKING,new,one_time,failed,insufficient_funds,1,0.75,194,1,115,0
TX000185,C01487,901.08,NETBANKING,returning,one_time,success,none,0,0.73,260,0,296,0
TX000186,C01339,840.71,UPI,returning,monthly,success,none,0,0.87,357,1,1086,0
TX000187,C00499,1513.67,UPI,returning,monthly,failed,bank_timeout,1,0.69,7,1,1338,1
TX000188,C01144,162.85,UPI,new,monthly,failed,card_declined,0,0.73,196,1,1159,0
TX000189,C00717,2445.05,UPI,new,one_time,success,none,0,0.72,356,0,525,0
TX000190,C00905,596.28,WALLET,new,yearly,success,none,0,0.5,15,1,1193,0
TX000191,C02052,3287.78,CARD,returning,monthly,failed,card_declined,2,0.76,303,1,351,0
TX000192,C01891,713.12,UPI,new,yearly,failed,card_declined,2,0.78,273,1,391,0
TX000193,C01822,1049.47,NETBANKING,new,one_time,success,none,0,0.79,305,1,1034,0
TX000194,C01086,6138.94,CARD,returning,yearly,success,none,0,0.77,144,1,215,0
TX000195,C02880,854.4,UPI,returning,monthly,success,none,0,0.44,221,1,1125,0
TX000196,C00263,3344.14,NETBANKING,returning,monthly,success,none,0,0.54,189,1,564,0
TX000197,C01028,1135.85,UPI,returning,one_time,success,none,0,0.8,149,1,769,0
TX000198,C00355,1593.8,UPI,returning,one_time,success,none,0,0.72,270,0,623,0
TX000199,C01017,1167.9,UPI,returning,monthly,success,none,0,0.84,208,1,1210,0
TX000200,C02886,2352.11,NETBANKING,new,one_time,success,none,0,0.85,351,1,1201,0
TX000201,C01099,591.71,UPI,returning,monthly,success,none,0,0.79,293,0,525,0
TX000202,C02726,452.3,UPI,new,monthly,success,none,0,0.45,293,1,1491,0
TX000203,C01486,617.25,CARD,new,monthly,failed,card_declined,0,0.93,218,0,673,0
TX000204,C02100,1199.6,NETBANKING,returning,one_time,success,none,0,0.98,93,1,1303,0
TX000205,C01373,898.98,UPI,new,yearly,success,none,0,0.49,234,1,552,0
TX000206,C00798,2078.18,UPI,new,one_time,success,none,0,0.54,79,1,374,0
TX000207,C02293,3548.42,NETBANKING,returning,monthly,success,none,0,0.88,69,1,1325,0
TX000208,C02908,455.66,CARD,returning,one_time,failed,bank_timeout,3,0.81,356,1,648,0
TX000209,C00791,566.48,UPI,new,one_time,failed,bank_timeout,2,0.59,103,0,949,0
TX000210,C02337,301.08,UPI,returning,one_time,success,none,0,0.75,78,1,1236,0
TX000211,C00784,6818.1,UPI,returning,monthly,success,none,0,0.65,194,1,613,0
TX000212,C02151,1442.6,CARD,new,monthly,success,none,0,0.54,51,1,627,0
TX000213,C02368,1688.88,CARD,returning,one_time,success,none,0,0.81,319,1,1482,0
TX000214,C01349,328.26,CARD,new,one_time,success,none,0,0.98,326,1,181,0
TX000215,C02211,1095.48,UPI,returning,monthly,success,none,0,0.89,215,1,75,0
TX000216,C00817,1734.24,NETBANKING,new,one_time,success,none,0,0.84,163,1,722,0
TX000217,C00238,873.51,UPI,new,one_time,success,none,0,0.7,167,1,1434,0
TX000218,C00290,2887.47,NETBANKING,returning,monthly,success,none,0,0.8,18,1,1097,0
TX000219,C01342,8783.66,UPI,returning,one_time,failed,insufficient_funds,0,0.93,143,0,85,1
TX000220,C02708,467.61,UPI,new,one_time,success,none,0,0.5,216,1,1187,0
TX000221,C00383,437.08,UPI,returning,one_time,failed,insufficient_funds,2,0.83,228,0,103,0
TX000222,C01368,497.71,UPI,returning,monthly,success,none,0,0.6,135,0,1143,0
TX000223,C02113,4654.45,UPI,returning,monthly,failed,insufficient_funds,0,0.75,259,1,31,0
TX000224,C00608,2802.09,CARD,new,one_time,failed,network_error,0,0.86,160,1,318,1
TX000225,C02165,970.71,NETBANKING,new,monthly,success,none,0,0.92,182,1,799,0
TX000226,C00918,1133.32,UPI,returning,one_time,success,none,0,0.52,219,1,805,0
TX000227,C02426,525.9,UPI,new,one_time,failed,insufficient_funds,0,0.56,347,1,622,0
TX000228,C01738,2443.1,UPI,new,one_time,success,none,0,0.79,362,1,216,0
TX000229,C01641,779.06,NETBANKING,new,one_time,success,none,0,0.33,216,0,1273,0
TX000230,C00531,867.77,UPI,new,monthly,success,none,0,0.76,41,1,153,0
TX000231,C01390,1896.78,UPI,returning,one_time,success,none,0,0.83,103,1,1291,0
TX000232,C02570,925.94,UPI,returning,yearly,success,none,0,0.95,87,1,1278,0
TX000233,C00059,887.61,UPI,new,yearly,success,none,0,0.68,325,1,722,0
TX000234,C02276,1107.12,CARD,new,one_time,failed,insufficient_funds,1,0.88,305,1,399,0
TX000235,C01479,2243.56,UPI,new,monthly,success,none,0,0.81,106,1,645,0
TX000236,C02159,4826.34,UPI,new,monthly,failed,card_declined,1,0.63,50,1,1078,0
TX000237,C01990,1857.41,NETBANKING,new,one_time,success,none,0,0.72,148,1,1085,0
TX000238,C01297,2259.69,UPI,returning,one_time,failed,card_declined,0,0.93,355,1,1125,0
TX000239,C00927,916.11,CARD,new,yearly,failed,bank_timeout,0,0.75,7,1,199,0
TX000240,C01882,579.97,UPI,new,one_time,success,none,0,0.77,120,1,322,0
TX000241,C00421,1975.52,NETBANKING,returning,monthly,failed,insufficient_funds,1,0.81,51,0,813,0
TX000242,C01753,1279.36,CARD,returning,monthly,success,none,0,0.62,230,1,64,0
TX000243,C00285,304.79,UPI,returning,one_time,failed,insufficient_funds,0,0.78,315,0,797,1
TX000244,C01950,816.26,NETBANKING,returning,monthly,failed,insufficient_funds,1,0.75,72,1,504,0
TX000245,C01887,1017.79,UPI,new,yearly,success,none,0,0.67,141,1,651,0
TX000246,C00254,692.69,UPI,new,one_time,success,none,0,0.54,116,0,759,0
TX000247,C02273,4161.21,CARD,new,one_time,failed,bank_timeout,0,0.63,49,1,590,1
TX000248,C01248,1688.94,CARD,new,one_time,failed,bank_timeout,0,0.67,202,1,542,0
TX000249,C02361,3773.87,UPI,returning,monthly,success,none,0,0.79,61,1,669,0
TX000250,C00125,1390.03,UPI,returning,monthly,success,none,0,0.8,352,1,459,0
TX000251,C00539,1179.98,UPI,returning,monthly,success,none,0,0.76,114,1,833,0
TX000252,C01482,472.04,CARD,returning,monthly,success,none,0,0.83,138,0,41,0
TX000253,C00565,1108.47,WALLET,returning,yearly,success,none,0,0.76,240,1,1,0
TX000254,C00990,1109.59,UPI,returning,one_time,success,none,0,0.71,329,1,861,0
TX000255,C01982,320.41,WALLET,returning,monthly,success,none,0,0.64,39,1,505,0
TX000256,C00434,674.81,UPI,returning,one_time,failed,network_error,0,0.85,76,1,709,0
TX000257,C02034,819.79,CARD,new,one_time,failed,insufficient_funds,3,0.8,357,0,567,0
TX000258,C00311,1591.02,NETBANKING,returning,one_time,success,none,0,0.82,13,1,1348,0
TX000259,C00526,1661.07,CARD,returning,one_time,success,none,0,0.64,80,1,747,0
TX000260,C01763,649.9,UPI,returning,yearly,failed,network_error,1,0.87,306,1,202,0
TX000261,C02381,1672.35,UPI,returning,monthly,failed,network_error,1,0.77,333,0,527,1
TX000262,C00512,930.88,UPI,returning,monthly,failed,bank_timeout,0,0.84,257,0,754,1
TX000263,C00900,100.0,CARD,returning,one_time,success,none,0,0.52,215,1,376,0
TX000264,C02776,708.94,WALLET,returning,one_time,success,none,0,0.71,43,1,791,0
TX000265,C02970,2896.01,UPI,new,yearly,failed,insufficient_funds,1,0.74,45,1,1406,0
TX000266,C01744,241.38,UPI,new,monthly,success,none,0,0.89,8,1,761,0
TX000267,C01342,1213.69,UPI,new,monthly,success,none,0,0.81,89,1,39,0
TX000268,C01041,4567.56,CARD,returning,one_time,success,none,0,0.76,299,0,108,0
TX000269,C01838,553.05,CARD,returning,one_time,success,none,0,0.62,124,0,1059,0
TX000270,C01773,1098.76,UPI,new,yearly,failed,bank_timeout,1,0.48,63,1,257,0
TX000271,C00885,339.13,CARD,new,one_time,success,none,0,0.95,77,1,966,0
TX000272,C00069,4743.39,UPI,new,one_time,success,none,0,0.58,175,1,59,0
TX000273,C00455,1017.39,CARD,returning,monthly,failed,card_declined,0,0.79,153,0,495,0
TX000274,C02876,1143.63,UPI,returning,yearly,failed,insufficient_funds,1,0.83,311,1,314,0
TX000275,C01255,3710.31,UPI,returning,one_time,success,none,0,0.79,305,1,872,0
TX000276,C01447,1988.89,CARD,new,monthly,success,none,0,0.39,208,1,717,0
TX000277,C01402,498.66,CARD,new,one_time,success,none,0,0.85,353,1,819,0
TX000278,C02349,612.44,UPI,returning,monthly,failed,network_error,2,0.57,328,1,1134,1
TX000279,C00195,1712.04,CARD,returning,one_time,success,none,0,0.92,34,1,296,0
TX000280,C00249,625.34,UPI,new,yearly,success,none,0,0.67,14,1,527,0
TX000281,C00828,163.12,UPI,new,monthly,success,none,0,0.87,53,1,913,0
TX000282,C01460,1045.33,WALLET,new,yearly,success,none,0,0.87,155,1,500,0
TX000283,C02014,289.4,NETBANKING,new,monthly,failed,network_error,1,0.67,168,1,198,0
TX000284,C01473,4696.88,UPI,new,yearly,failed,bank_timeout,1,0.65,72,1,677,0
TX000285,C01324,1285.76,NETBANKING,returning,monthly,success,none,0,0.93,254,1,765,0
TX000286,C02814,485.58,CARD,new,monthly,success,none,0,0.83,147,1,902,0
TX000287,C00484,584.78,UPI,returning,one_time,success,none,0,0.78,50,1,1286,0
TX000288,C01716,200.25,UPI,returning,monthly,success,none,0,0.6,278,1,1006,0
TX000289,C01627,407.68,UPI,new,one_time,success,none,0,0.83,270,1,1130,0
TX000290,C01421,2737.2,CARD,returning,monthly,failed,network_error,0,0.88,325,1,550,0
TX000291,C02423,8173.13,NETBANKING,returning,monthly,success,none,0,0.79,364,1,1285,0
TX000292,C00801,2108.55,UPI,new,monthly,failed,card_declined,0,0.86,54,1,365,1
TX000293,C02862,1009.45,UPI,returning,monthly,success,none,0,0.82,91,1,145,0
TX000294,C00995,743.4,UPI,new,monthly,success,none,0,0.93,127,1,781,0
TX000295,C01636,463.66,UPI,new,monthly,success,none,0,0.69,332,1,846,0
TX000296,C01563,7000.87,NETBANKING,new,monthly,failed,insufficient_funds,2,0.61,162,1,963,0
TX000297,C02550,925.31,UPI,returning,one_time,success,none,0,0.75,328,1,884,0
TX000298,C01317,7361.85,CARD,returning,monthly,success,none,0,0.81,91,1,419,0
TX000299,C00854,3843.61,UPI,returning,monthly,failed,insufficient_funds,0,0.77,113,1,368,1
TX000300,C00065,228.9,CARD,new,monthly,success,none,0,0.54,73,1,81,0
TX000301,C01092,602.23,CARD,returning,one_time,success,none,0,0.66,132,1,796,0
TX000302,C02479,600.56,CARD,new,one_time,success,none,0,0.83,300,1,1259,0
TX000303,C00030,1020.59,UPI,new,monthly,failed,card_declined,2,0.9,117,1,977,0
TX000304,C02689,1038.69,CARD,returning,yearly,success,none,0,0.74,316,1,1343,0
TX000305,C01629,16262.47,CARD,new,one_time,success,none,0,0.9,82,1,559,0
TX000306,C00421,415.92,CARD,returning,yearly,success,none,0,0.83,12,1,1056,0
TX000307,C00907,1347.59,CARD,returning,one_time,success,none,0,0.86,206,1,679,0
TX000308,C01663,1910.0,NETBANKING,returning,yearly,success,none,0,0.72,336,1,1179,0
TX000309,C00948,1095.08,UPI,returning,yearly,success,none,0,0.71,94,0,238,0
TX000310,C00326,1210.95,UPI,new,monthly,success,none,0,0.74,288,1,1498,0
TX000311,C01998,428.23,WALLET,new,yearly,failed,insufficient_funds,0,0.83,342,1,1093,0
